State,Band Name,Date
"Mercury Lounge | New York, NY",Nico Vega,TODAY 6:00 PM
"Buckhead Theatre | Atlanta, GA",Drivin N Cryin,FRI APR 5
"Black Sheep | Colorado Springs, CO","The National Parks, Jordan Moyes",FRI APR 5
"Marquis | Denver, CO",Mindz Eye,FRI APR 5
"Wally's | Hampton, NH",WPOR Presents: A Thousand Horses,FRI APR 5
"Liberty Hall | Lawrence, KS",Neko Case,FRI APR 5
"The Observatory | Santa Ana, CA",My Life with the Thrill Kill Kult,FRI APR 5
"The Peppermint Club | Los Angeles, CA",Everything Yes,FRI APR 5
"Constellation Room | Santa Ana, CA",Kelsy Karter & The Heroines,FRI APR 5
"Showroom at Casino Arizona | Scottsdale, AZ",SIXTIESMANIA,FRI APR 5
"191 Toole | Tucson, AZ",Yonder Mountain String Band @ 191 Toole,FRI APR 5
"South Shore Room at Harrah's Lake Tahoe | Stateline, NV",Direct from Sweden: The Music of ABBA,FRI APR 5
"Herbst Theatre | San Francisco, CA",Bruce Hornsby and yMusic present BrhyM,FRI APR 5
"Hollywood Theatre | Vancouver, BC",Said The Whale: hawaiii 10th Anniversary,FRI APR 5
"Teragram Ballroom | Los Angeles, CA",Ariel Pink,FRI APR 5
"Neck of the Woods | San Francisco, CA",Magnitude/ Field of Flames/ No Right/ xAdherencex/ Skin Graft,FRI APR 5
"Rec Room | Buffalo, NY",For The Fallen Dreams,SAT APR 6
"The Bluestone | Columbus, OH",Donnie Iris & the Cruisers,SAT APR 6
"Spirit Hall | Pittsburgh, PA",Woods & Avey Tare (21+),SAT APR 6
"Marshall Health Network Arena (formerly Mountain Health Arena) | Huntington, WV",We The Kingdom,SAT APR 6
"Bogart's | Cincinnati, OH",Matt Maeson - A Solo Experience: That's My Cue Tour,SAT APR 6
"Gramercy Theatre | New York, NY",Glass Beach,SAT APR 6
"Brooklyn Made | Brooklyn , NY",Underworld NYC Presents Bootblacks Live!,SAT APR 6
"House of Blues Cleveland | Cleveland, OH",Slam Dunk Solar Party,SAT APR 6
"Brighton Music Hall presented by Citizens | Boston, MA",Destroyer (Solo),SAT APR 6
"The Masquerade - Altar | Atlanta, GA",The Normas,SAT APR 6
"Mars Music Hall | Huntsville, AL",Conway: It's Only Make Believe Starring David Lee,SAT APR 6
"Reggie's Music Joint | Chicago, IL",Fabulous Fucking Fabian Fest 7 featuring Fantasma Negra / Spare Change,SAT APR 6
"Theatre du Casino du Lac-Leamy | GATINEAU, QC",Queen Symphonic,SAT APR 6
"White Oak Music Hall - Upstairs | Houston, TX",Torres with Liza Anne,SAT APR 6
"House of Blues Houston | Houston, TX",Tone-A-Rama 2024 - Eric Johnson + Very Sp. Guest Michael Landau Group,SAT APR 6
"The Observatory | Santa Ana, CA","Happy Daps 2 w/ The High Curbs, Ultra Q & more",SAT APR 6
"The Asylum at Masonic Temple | Cleveland, OH",Social Cinema,SAT APR 6
"Blue Ocean Music Hall | Salisbury, MA",The Fools April Fool's Show,SAT APR 6
"The Queen | Wilmington, DE",Joe Pug,SAT APR 6
"White Oak Music Hall - Downstairs | Houston, TX",Dexter and The Moonrocks with Sawyer Hill,SAT APR 6
"Templelive Fort Smith | Fort Smith, AR",Hairball,SAT APR 6
"Minglewood Hall | Memphis, TN",Tora Tora,SAT APR 6
"The Depot | Salt Lake City, UT",MxPx w/ The Ataris,SAT APR 6
"Mercury Lounge | New York, NY","TEMPT, Kore Rozzik",SAT APR 6
"Tannahill's Tavern and Music Hall | Fort Worth, TX",Green River Ordinance,SAT APR 6
"Black Sheep | Colorado Springs, CO","Otep, Red Devil Vortex",SAT APR 6
"The Echo | Los Angeles, CA",PARAVI: The Sacred Sound Tour with Catie Turner,SAT APR 6
"Neptune Theatre | Seattle, WA",The Nook: Rainbow Rhapsody,SAT APR 6
"Petoskey, MI","The Body W/ Scalp, Clique, Luster, Purest Form, & Mallet",SAT APR 6
"Acrisure Arena at Greater Palm Springs | Palm Desert, CA",Freestyle Explosion,SAT APR 6
"Yucca Tap Room | Tempe, AZ","Total Chaos, Acidez, TV Tragedy, Ass Wipe Junkies, Ingrate",SAT APR 6
"The Venue at Thunder Valley Casino Resort | Lincoln, CA",Goo Goo Dolls,SAT APR 6
"Bowery Ballroom | New York, NY",Shelter & CIV,SUN APR 7
"Empire Underground | Albany, NY",Ringworm,SUN APR 7
"Musica | Akron, OH",Free Throw W/ Charmer & Carpool,SUN APR 7
"White Oak Music Hall - Downstairs | Houston, TX",The Bled,SUN APR 7
"The Bronze Peacock at House of Blues Houston | Houston, TX",Michael Seyer,SUN APR 7
"The Orange Peel | Asheville, NC",flipturn,SUN APR 7
"The Echo | Los Angeles, CA",Grand Ole Echo Presents: Emily Rose And The Rounders,SUN APR 7
"Paramount Theatre for the Performing Arts | Austin, TX",Steve Hackett - Genesis Revisited: Foxtrot at 50 & Hackett Highlights,SUN APR 7
"Transplants Brewing Company | Palmdale, CA",The Schizophonics / Ughh / Strippr / Benchwarmers,SUN APR 7
"The Ritz | Raleigh, NC",Movements: RUCKUS! TOUR 2024,MON APR 8
"Rec Room | Buffalo, NY",The Slackers,MON APR 8
"9:30 CLUB | Washington, DC",Young Fathers: The HEAVY HEAVY Tour,MON APR 8
"Tribute Communities Centre | Oshawa, ON",Queens of the Stone Age - The End is Nero,MON APR 8
"Crystal Ballroom at Somerville Theatre | Somerville, MA",Swami & The Bed of Nails,MON APR 8
"Antone's Nightclub | Austin, TX","Arm's Length w/ Carly Cosgrove, Ben Quad, and saturdays at your place",MON APR 8
"Echoplex | Los Angeles, CA",Survive Said The Prophet with Kala,MON APR 8
"Madame Lou's | Seattle, WA",DOUBLECAMP & Alt Bloom,MON APR 8
"Garden Bowl Lounge | Detroit, MI",Palaye Royale,TUE APR 9
"The Danforth Music Hall | Toronto, ON",VNV Nation Electric Sun North American Tour 2023,TUE APR 9
"Spirit Hall | Pittsburgh, PA",WPTS Presents: George Clanton,TUE APR 9
"Bowery Ballroom | New York, NY","Mihali Live Band ft. Gubb, Adrian, Scott & The Horns",TUE APR 9
"Middle East - Upstairs | Cambridge, MA","Zombi, Overcalc",TUE APR 9
"Le Studio TD | Montréal, QC",Caroline Rose,TUE APR 9
"House of Blues Houston | Houston, TX",Starset - Immersion: The Final Chapter,TUE APR 9
"Kalamazoo State Theatre | Kalamazoo, MI",The Mountain Goats,TUE APR 9
"Burlington Bar | Chicago, IL",Snodgrass + Buddies,TUE APR 9
"The Avalon Theatre At Niagara Fallsview Casino Resort | Niagara Falls, ON",Blue Suede Tunes - Frankie Moreno,WED APR 10
"House of Blues Orlando | Orlando, FL",Bayside - The Worse Things Than Being Alive Tour presented by WJRR,WED APR 10
"Middle East - Upstairs | Cambridge, MA","Bag Lady, Blue Manic, Earthlore, Bent",WED APR 10
"Big Night Live | Boston, MA",Re+ Re-TROS North America Tour,WED APR 10
"Jimmy's Jazz and Blues Club | Portsmouth, NH",The Eagles Experience,WED APR 10
"Mickey's Black Box | Lititz, PA",Huntertones featuring Akie Bermiss (of Lake Street Dive),WED APR 10
"The Horseshoe Tavern | Toronto, ON",Ruston Kelly the Too Chill To Kill Tour,WED APR 10
"The Funhouse at Mr. Smalls | Millvale, PA",Night Rider,WED APR 10
"Centre Videotron | Québec, QC",Noah Kahan: We'll All Be Here Forever Tour,WED APR 10
"Le Studio TD | Montréal, QC",Tiny Habits - Little Bit Farther Tour,WED APR 10
"White Oak Music Hall - Downstairs | Houston, TX",Depresión Sonora,WED APR 10
"The Loft | Atlanta, GA",The Crane Wives,WED APR 10
"Subterranean | Chicago, IL",Dylan.,WED APR 10
"Union Hall | Edmonton, AB",Lime Cordial - Presented By Union Hall and Nightshift Entertainment,WED APR 10
"Ryman Auditorium | Nashville, TN",Mitski,WED APR 10
"Mercury Lounge | New York, NY",The Ruen Brothers,WED APR 10
"Thalia Hall | Chicago, IL",*SOLD OUT* Mannequin Pussy with Soul Glo,WED APR 10
"Black Sheep | Colorado Springs, CO",Katie Pruitt - Mantras Tour,WED APR 10
"9:30 CLUB | Washington, DC",Smallpools/Grayscale,THU APR 11
"House of Blues Orlando | Orlando, FL",The Rock Orchestra By Candlelight,THU APR 11
"Brooklyn Paramount | Brooklyn, NY",Liam Gallagher John Squire,THU APR 11
"Empire Underground | Albany, NY",Thursday,THU APR 11
"Beacon Theatre | New York, NY",Casting Crowns - 20th Anniversary Tour,THU APR 11
"Théâtre Manuvie (Formerly L'Etoile) | Brossard, QC",Bobby Bazini,THU APR 11
"Théâtre Beanfield | Montreal, QC",Blue October,THU APR 11
"The Orange Peel | Asheville, NC",The Disco Biscuits,THU APR 11
"The Southern Cafe & Music Hall | Charlottesville, VA",Bailen,THU APR 11
"Crystal Ballroom at Somerville Theatre | Somerville, MA",Jhariah,THU APR 11
"Duling Hall | Jackson, MS",Juno Dunes,THU APR 11
"The Parish at House of Blues Anaheim | Anaheim, CA",Billy Tibbals,THU APR 11
"Hollywood Bowl | Hollywood, CA",Keep the Party Going: A Tribute to Jimmy Buffett,THU APR 11
"Constellation Room | Santa Ana, CA",A. Savage,THU APR 11
"The Fillmore | San Francisco, CA",Old 97's,THU APR 11
"Grand Sierra Resort and Casino | Reno, NV",Peter Frampton: Never Ever Say Never Tour,THU APR 11
"Mercury Lounge | New York, NY","Edon, Alex Cano, Jake Wildhorn",FRI APR 12
"Molson Canadian Centre at Casino New/Nouveau Brunswick | Moncton, NB",Matthew Good and His Band,FRI APR 12
"The Atlantis | Washington, DC",Coco,FRI APR 12
"Greenfield Lake Amphitheater | Wilmington, NC",The Brook & The Bluff - Bluebeard Tour 2024,FRI APR 12
"Orpheum | Tampa, FL",The Toasters - 43 Years of Ska,FRI APR 12
"Rum Runners | London, ON",ZEUS,FRI APR 12
"Manchester Music Hall | Lexington, KY",The Fall Of Troy,FRI APR 12
"Madison Live! | Covington, KY",High Fade,FRI APR 12
"House of Blues Orlando | Orlando, FL",Emo Night Karaoke,FRI APR 12
"Scoot Inn | Austin, TX",The Strumbellas - Part Time Believer Tour with Certainly So,FRI APR 12
"The Astro | La Vista, NE",An Evening with The Kenny Wayne Shepherd Band,FRI APR 12
"Premier Theater at Foxwoods Resort Casino | Mashantucket, CT",Rob Thomas,FRI APR 12
"House of Blues New Orleans | New Orleans, LA",Nola Rocks,FRI APR 12
"Angel City Music Hall | Manchester, NH","Firewind, Edge of Paradise, Immortal Guardian",FRI APR 12
"Jefferson Theater | Charlottesville, VA",The Vegabonds,FRI APR 12
"Madrid Theatre | Kansas City, MO",The Urge,FRI APR 12
"Paradise Rock Club presented by Citizens | Boston, MA",Keller Williams (18+),FRI APR 12
"F.M. Kirby Center | Wilkes-Barre, PA",TRiBE,FRI APR 12
"The Theater at MSG | New York, NY",Resilience Presents - ZEMFIRA,FRI APR 12
"Mercury Lounge | New York, NY",Flycatcher,FRI APR 12
"Thalia Hall | Chicago, IL",Re-TROS with Liars and Lifeguard,FRI APR 12
"Delmar Hall | Saint Louis, MO",Stir,FRI APR 12
"The Parish at House of Blues Anaheim | Anaheim, CA",Breakthru Entertainment,FRI APR 12
"Live at 1175 | Kansasville, WI",Taproot LIVE!! Special Guests: Lake Effect,FRI APR 12
"The Observatory | Santa Ana, CA",The Sonics,FRI APR 12
"The Peppermint Club | Los Angeles, CA",The Cavemen,FRI APR 12
"House of Blues San Diego | San Diego, CA",Lo Mejor Del Rock Tour 2024,FRI APR 12
"Ocean Resort Casino, HQ2 Nightclub and HQ2 Dayclub/Beachclub | Atlantic City, NJ",ENCORE,FRI APR 12
"The Event at Graton Resort & Casino | Rohnert Park, CA",Don Felder,FRI APR 12
"The Echo | Los Angeles, CA",Kaleida,FRI APR 12
"The Moroccan Lounge | Los Angeles, CA",LUCY (Cooper B. Handy) + Special Guests,FRI APR 12
"Mercury Lounge | New York, NY",Small Crush,SAT APR 13
"Molson Canadian Centre at Casino New/Nouveau Brunswick | Moncton, NB",Matt Minglewood Band Thru The Years,SAT APR 13
"The Masquerade - Altar | Atlanta, GA",Natalia Taylar / Glimmers,SAT APR 13
"Rec Room | Buffalo, NY",Juice,SAT APR 13
"Scoot Inn | Austin, TX",MOVED TO EMPIRE CONTROL ROOM: Games We Play,SAT APR 13
"Empire Underground | Albany, NY",Shayfer James,SAT APR 13
"The Opera House | Toronto, ON",The Staves,SAT APR 13
"House of Blues Cleveland | Cleveland, OH",Fruitfly,SAT APR 13
"Brighton Music Hall presented by Citizens | Boston, MA",Strange Machines and Hayley Jane & The Primates (18+),SAT APR 13
"White Oak Music Hall - Upstairs | Houston, TX","The Last Starfighter with Facetime, Floorbound, and Mind Mine",SAT APR 13
"Rose & Alfred Miniaci Performing Arts Center | Ft Lauderdale, FL","Lynyrd Skynyrd ""A Tribute""",SAT APR 13
"The Funhouse at Mr. Smalls | Millvale, PA",Mojohand,SAT APR 13
"Emo's Austin | Austin, TX",Chris Renzema - Manna Tour,SAT APR 13
"Scoot Inn | Austin, TX",The Bright Light Social Hour and Mo Lowda & The Humble,SAT APR 13
"The Orange Peel | Asheville, NC",Madison Cunningham,SAT APR 13
"St. George Theatre | Staten Island, NY",Beatles Blast 2024: Back to '64!,SAT APR 13
"Angel City Music Hall | Manchester, NH","TOUR OF THE LIVING DEAD Featuring DOYLE, OTEP & RED DEVIL VORTEX",SAT APR 13
"Blue Ocean Music Hall | Salisbury, MA",Panorama,SAT APR 13
"The Asylum at Masonic Temple | Cleveland, OH",Gimme Sugar- Stones Tribute & Mister Breeze - Skynyrd Tribute,SAT APR 13
"Aztec Theatre | San Antonio, TX",Dave Mason,SAT APR 13
"The Cynthia Woods Mitchell Pavilion presented by Huntsman | Woodlands, TX","SESSANTA: Primus, Puscifer, A Perfect Circle",SAT APR 13
"Subterranean | Chicago, IL","Remo Drive, Wilt",SAT APR 13
"Pechanga Resort Casino | Temecula, CA",Boohwal 39th,SAT APR 13
"The Moroccan Lounge | Los Angeles, CA",Landon Conrath,SAT APR 13
"Grey Eagle Event Centre | Calgary, AB",Everclear & Sister Hazel,SAT APR 13
"Mercury Lounge | New York, NY",The Red Party presents: OUR 17 YEAR ANNIVERSARY PARTY,SAT APR 13
"Spotlight at The Paramount | Huntington, NY",The Dwarves,SAT APR 13
"The Echo | Los Angeles, CA",Kate Clover,SAT APR 13
"Scherr Forum- B of A Performing Arts Center, Thousand Oaks | Thousand Oaks, CA",WCPAP presents ABBA LA: The ABBA Concert Experience,SAT APR 13
"Marquee Theatre | Tempe, AZ",Brittany Howard,SAT APR 13
"Harrah's Ak-Chin Casino | Maricopa, AZ",Foreigner - Farewell Tour,SAT APR 13
"Yucca Tap Room | Tempe, AZ","Deadbolt, Flametrick Subs, the Vooduo",SAT APR 13
"191 Toole | Tucson, AZ",The Brothers Comatose @ 191 Toole,SAT APR 13
"The Pearl | Vancouver, BC",Meatbodies with Heavy Trip & Space Queen,SAT APR 13
"Stubb's Indoors | Austin, TX",Rare Bloom and Burning Years,SAT APR 13
"The Atlantis | Washington, DC",WILLIS,SUN APR 14
"Gramercy Theatre | New York, NY",EMEI: The Cynical Tour,SUN APR 14
"Bergen Performing Arts Center | Englewood, NJ","Marilyn McCoo, Billy Davis Jr. & Darlene Love",SUN APR 14
"The Sanctuary Detroit | Hamtramck, MI","Koffin Kats, The Queers, The Cult of Spaceskull, The Lowcocks",SUN APR 14
"Birchmere | Alexandria, VA",Leo Kottke,SUN APR 14
"Manchester Music Hall | Lexington, KY",Framing Hanley,SUN APR 14
"The Factory | St. Louis, MO",ARRIVAL From Sweden: The Music of ABBA,SUN APR 14
"Music Farm | Charleston, SC",Fastball,SUN APR 14
"Humphreys Backstage Live | San Diego, CA",Terry Steele,SUN APR 14
"The Van Buren | Phoenix, AZ",The Last Dinner Party With Special Guest Miss Grit,SUN APR 14
"Madame Lou's | Seattle, WA",Daniel Romano's Outfit,SUN APR 14
"The Atlantis | Washington, DC",Yola,MON APR 15
"Velvet Underground | Toronto, ON",Hans Williams - MOVED TO VELVET UNDERGROUND,MON APR 15
"Bowery Ballroom | New York, NY",lovelytheband,MON APR 15
"The Fillmore Silver Spring | Silver Spring, MD",Benson Boone: Fireworks and Rollerblades World Tour,MON APR 15
"The Fillmore Charlotte | Charlotte, NC",SAINT MOTEL - The Awards Show,MON APR 15
"Mercury Lounge | New York, NY",Gavin Bermudez,MON APR 15
"Greenfield Lake Amphitheater | Wilmington, NC",Dawes with special guest Paul Spring,TUE APR 16
"9:30 CLUB | Washington, DC",Allah-Las,TUE APR 16
"Packard Music Hall | Warren, OH",The Greatest Piano Men,TUE APR 16
"The Astro | La Vista, NE",Indigo Girls,TUE APR 16
"High Noon Saloon | Madison, WI",Dust City Opera,TUE APR 16
"Blueberry Hill Duck Room | St Louis, MO",First To Eleven - Where Do We Go Now? Tour,TUE APR 16
"South Point Showroom at South Point Hotel Casino and Spa | Las Vegas, NV",Righteous Brothers,TUE APR 16
"The Atlantis | Washington, DC",Drop Nineteens,WED APR 17
"House of Blues Orlando | Orlando, FL",Beach Fossils with friends Nation of Language,WED APR 17
"Empire Underground | Albany, NY",Southpaw,WED APR 17
"The Axis Club (formerly known as The Mod Club) | Toronto, ON",Jersey,WED APR 17
"White Oak Music Hall - Upstairs | Houston, TX",Johnny Dynamite & The Bloodsuckers and Sculpture Club,WED APR 17
"Middle Ages Beer Hall | Syracuse, NY",The Motet w/s/g Consider the Source,WED APR 17
"Treelawn Music Hall | Cleveland, OH",Storm Large,WED APR 17
"1884 Lounge | Memphis, TN",Shallow Side,WED APR 17
"High Noon Saloon | Madison, WI",Grahame Lesh & The North,WED APR 17
"Blueberry Hill Duck Room | St Louis, MO",Heart to Gold,WED APR 17
"Teragram Ballroom | Los Angeles, CA",White Denim,WED APR 17
"Showroom at Talking Stick Resort | Scottsdale, AZ",Geoff Tate,WED APR 17
"191 Toole | Tucson, AZ",The Beths @ 191 Toole,WED APR 17
"The Pearl | Vancouver, BC",Kasador with Slightest Clue and Bealby Point,WED APR 17
"Mercury Lounge | New York, NY",Marielle Kraft,THU APR 18
"Bowery Ballroom | New York, NY",Conor Oberst and Friends,THU APR 18
"Scoot Inn | Austin, TX",Amplify LIVE featuring headliner Ben Kweller,THU APR 18
"The Vogel at Count Basie Center for the Arts | Red Bank, NJ",Jorma Kaukonen,THU APR 18
"Knitting Factory at Baker Falls | New York, NY","Namesake, Willy Mason, Tea Eater, Abby Jeanne & The Shadowband",THU APR 18
"Union Stage | Washington, DC",We Three,THU APR 18
"Madison Live! | Covington, KY",Cool Cool Cool,THU APR 18
"Garcia's at The Capitol Theatre | Port Chester, NY",An Evening With Tom Hamilton,THU APR 18
"Bo's Bar & Stage | Red Deer, AB",SHRED KELLY I BLURRY VISION ALBUM RELEASE TOUR,THU APR 18
"The Echo | Los Angeles, CA",Paint It Black with Artificial Joy,THU APR 18
"The Venue at Thunder Valley Casino Resort | Lincoln, CA",Petty Theft : A Tribute to Tom Petty,THU APR 18
"Brooklyn Bowl Las Vegas | Las Vegas, NV",Eggy,THU APR 18
"Amalie Arena | Tampa, FL",98ROCKFEST,FRI APR 19
"9:30 CLUB | Washington, DC",Alice Phoebe Lou: North American Tour 2024,FRI APR 19
"Empire Underground | Albany, NY",Slapshot,FRI APR 19
"Boeing Center at Tech Port | San Antonio, TX",Bad Religion and Social Distortion,FRI APR 19
"House of Blues Cleveland | Cleveland, OH",Fayrewether,FRI APR 19
"The Masquerade - Altar | Atlanta, GA",James Meizer,FRI APR 19
"Ludlow Garage Cincinnati | Cincinnati, OH",Carbon Leaf,FRI APR 19
"Capital One Hall | Tysons, VA",Oh He Dead,FRI APR 19
"Mercury Ballroom | Louisville, KY",Black Water Revival - A Tribute to the Doobie Brothers,FRI APR 19
"Aztec Theatre | San Antonio, TX",Hot Mulligan: Choose Your Fightour,FRI APR 19
"Cone Denim Entertainment Center | Greensboro, NC",Strutter,FRI APR 19
"The Vogel at Count Basie Center for the Arts | Red Bank, NJ",A Brother's Revival,FRI APR 19
"Brooklyn Made | Brooklyn , NY",Castle Rat - Album Release Show,FRI APR 19
"Funk 'n Waffles | Syracuse, NY",The Seapods,FRI APR 19
"Tuffy's Music Box | Sanford, FL",Red Clay Strays,FRI APR 19
"Remedy at 611 | Sioux Falls, SD",Skrizzly Adams,FRI APR 19
"Elevation 27 | Virginia Beach, VA",Completely Unchained: The Ultimate Van Halen Tribute,FRI APR 19
"James L Knight Center | Miami, FL",Festival de Pop Espanol Miami,FRI APR 19
"Madison Theater | Covington, KY",Big Something,FRI APR 19
"Brooklyn Bowl Nashville | Nashville, TN",Walk The West and Bare Jr. w/Jason Ringenberg,FRI APR 19
"Harrisburg Midtown Arts Center (HMAC) Capitol Room | Harrisburg, PA",Screaming Infidelities Emo Night,FRI APR 19
"Brooklyn Bowl Las Vegas | Las Vegas, NV",Chicano Batman,FRI APR 19
"Reggie's Music Joint | Chicago, IL","IV and the Strange Band, Left Lane Cruiser, Royal Son of a Guns, Mikey",FRI APR 19
"Baltimore Soundstage | Baltimore, MD",Dirtwire,FRI APR 19
"Duling Hall | Jackson, MS",The Disco Stranglers,FRI APR 19
"Mercury Lounge | New York, NY",The Neverenders,FRI APR 19
"Oskar Blues Colorado Springs | Colorado Springs, CO","Briscoe, Max McNown",FRI APR 19
"La Boom | Woodside, NY","ALEX UBAGO ""GIRA 20 AÑOS""@LaBoomNy",FRI APR 19
"Rose Music Hall | Columbia, MO",The Spooklights,FRI APR 19
"Voodoo Room at the House of Blues San Diego | San Diego, CA",Lø Spirit,FRI APR 19
"Yucca Tap Room | Tempe, AZ","Buck-O-Nine, Bite Me Bambi, 2 Tone Lizard Kings",FRI APR 19
"Gila River Resorts & Casinos - Wild Horse Pass | Chandler , AZ",Los Lonely Boys,FRI APR 19
"The 44 Sports Grill and Nightlife | Glendale, AZ","Dead Boys w TOB and Vic Tim's, The Kentucky Rifles, and Sunnyslope Bullets",FRI APR 19
"August Hall | San Francisco, CA",Aidan Bissett: Supernova: How's It Gonna End? Tour,FRI APR 19
"Neck of the Woods | San Francisco, CA",Moms With Bangs/ Wheelchair Sports Camp/ Flimflam/ Suppergood4uthing,FRI APR 19
"JaM Cellars Ballroom | Napa, CA",Super Diamond - The Neil Diamond Tribute,FRI APR 19
"Greenfield Lake Amphitheater | Wilmington, NC",Umphrey's McGee: 2 Day Pass,APR 20
"Fortune Sound Club | Vancouver, BC",Hudson Mohawke and Nikki Nair ÂSet the Roofâ Tour - Moved To Fortu,FRI APR 19
"Empire Underground | Albany, NY",Adhara - The Common Denominator Series Mixed Bill,SAT APR 20
"The Overton Park Shell | Memphis, TN",Mempho Presents: Shell Daze Music Festival 2024 (Saturday),SAT APR 20
"The Atlantis | Washington, DC",Augustana,SAT APR 20
"Stubb's Waller Creek Amphitheater | Austin , TX",Nothing More & Wage War,SAT APR 20
"Steeleville, MO",Priest (Featuring Ex Members of Ghost) Performing At the Halftime Spor,SAT APR 20
"The Masquerade - Altar | Atlanta, GA",girlpuppy,SAT APR 20
"Lincoln Theatre | Washington, DC",Matthew Sweet,SAT APR 20
"Township Auditorium | Columbia, SC",John Mellencamp: Live and In Person,SAT APR 20
"The Signal - Concert Hall | Chattanooga, TN",Futurebirds,SAT APR 20
"Brown County Music Center | Nashville, IN",Exile,SAT APR 20
"High Noon Saloon | Madison, WI",Natty Nation 4/20 Reggae Party,SAT APR 20
"Liberty Hall | Lawrence, KS",Kansas Music Hall of Fame Induction Ceremony 2024,SAT APR 20
"Vinyl | Atlanta, GA",Birdtalker,SAT APR 20
"The Horseshoe Tavern | Toronto, ON",Chris Cresswell with Northcote,SAT APR 20
"Bayou Music Center | Houston, TX",Adam Ant - ANTMUSIC 2024 with special guest The English Beat,SAT APR 20
"House of Blues New Orleans | New Orleans, LA",Garden Grove - The Sublime Experience,SAT APR 20
"Hollywood Casino Gulf Coast | Bay St. Louis, MS",Lit,SAT APR 20
"Marquis | Denver, CO",Driveways,SAT APR 20
"Majestic Theatre | Madison, WI",Kainalu,SAT APR 20
"Ameristar Casino and Hotel | Kansas City, MO",Shooting Star,SAT APR 20
"Rum Runners | London, ON",Sydney Blu At System Saturdays,SAT APR 20
"Fortune Sound Club | Vancouver, BC",I DONT KNOW HOW BUT THEY FOUND ME: GLOOMTOWN TOUR,SAT APR 20
"The ELM | Bozeman, MT",Opiuo,SAT APR 20
"The 44 Sports Grill and Nightlife | Glendale, AZ","Sponge w/ Dierdre, Latency, Phathoms",SAT APR 20
"Constellation Room | Santa Ana, CA",Charlotte Cornfield & Al Menne,SAT APR 20
"Showroom at Casino Arizona | Scottsdale, AZ",Mick Adams & the Stones,SAT APR 20
"M Resort Spa Casino | Henderson, NV",Taylor Dayne and Tiffany,SAT APR 20
"Ophelia's Electric Soapbox | Denver, CO",The Big Wu,SAT APR 20
"The Venetian Theatre at The Venetian Resort | Las Vegas, NV",The B-52s,SAT APR 20
"Garcia's at The Capitol Theatre | Port Chester, NY",The Especially Everyone Experience ft. Jewels Harrison & The Jems,SUN APR 21
"Dingbatz | Clifton, NJ",Jeff Stubbz Memorial Sunday Matinee,SUN APR 21
"The Atlantis | Washington, DC",Quarters of Change,SUN APR 21
"Lovedraft's Brewing Co. | Mechanicsburg, PA",Pig Destroyer,SUN APR 21
"Brooklyn Bowl | Brooklyn, NY","Battle of the Bands Ft. Loveseat Pete, Spencer Arjang, Rylie Faith,",SUN APR 21
"The Queen | Wilmington, DE",Whitehall,SUN APR 21
"Hard Rock Live | Hollywood, FL",Estopa,SUN APR 21
"The Masquerade - Purgatory | Atlanta, GA",Asg,SUN APR 21
"Birchmere | Alexandria, VA","SGGL (Speidel, Goodrich, Goggin & Lille)",SUN APR 21
"Crystal Ballroom at Somerville Theatre | Somerville, MA",We Are The Union W/Half Past Two/Devon Kay & The Solutions/the Pomps,SUN APR 21
"Empire Live | Albany, NY",Neon Trees,SUN APR 21
"Knight Theater | Charlotte, NC",Rodrigo y Gabriela,SUN APR 21
"Antone's Nightclub | Austin, TX",Young Rising Sons w/ 44Blonde and Diva Bleach,SUN APR 21
"The Pearl | Vancouver, BC",Fiddlehead with Spite House + Guests,SUN APR 21
"191 Toole | Tucson, AZ",Krooked Kings @ 191 Toole,SUN APR 21
"Wicket Hall | Victoria, BC",An Evening with Big Sugar,SUN APR 21
"Howard Theatre | Washington, DC",Jesse McCartney,MON APR 22
"Velvet Underground | Toronto, ON","Elliot Moss, Jjad",MON APR 22
"The Senate | Columbia, SC",Dayseeker: Dark Sun Tour,MON APR 22
"Wilfrid-Pelletier | Montreal, QC",Nathaniel Rateliff,MON APR 22
"The Opera House | Toronto, ON",The Mary Wallopers,MON APR 22
"Thunderbird Music Hall | Pittsburgh, PA",Cut Worms,MON APR 22
"Avondale Brewing Co. | Birmingham, AL",Mikaela Davis - The Upstairs at Avondale,MON APR 22
"Midway | Edmonton, AB",Tori Kelly – purple skies tour,MON APR 22
"Constellation Room | Santa Ana, CA",Aidan Bissett: Supernova: Hows It Gonna End? Tour,MON APR 22
"Bogart's | Cincinnati, OH",Mickey Darling,TUE APR 23
"Middle East - Upstairs | Cambridge, MA","Aaron Lee Tasjan, Molly Martin",TUE APR 23
"The Sanctuary Detroit | Hamtramck, MI","Cherubs, Heet Deth",TUE APR 23
"Bijou Theatre | Knoxville, TN",Hayes & The Heathens,TUE APR 23
"The Fillmore Silver Spring | Silver Spring, MD",Ross Lynch & Rocky Lynch present The Driver Era: Live On Tour,TUE APR 23
"Théâtre Beanfield | Montreal, QC",TALK - The Lord of the Flies & Birds & Bees Tour,TUE APR 23
"White Oak Music Hall - Downstairs | Houston, TX",Swans,TUE APR 23
"TempleLive Wichita | Wichita, KS",Icon for Hire,TUE APR 23
"Mercury Lounge | New York, NY","Social Creatures, Flight Attendant, Connie Danger",TUE APR 23
